year,state,democrat_votes,republican_votes,office
1988,Alabama,549506,815576,republican
1988,Alaska,72584,119251,republican
1988,Arizona,454029,702541,republican
1988,Arkansas,349237,466578,republican
1988,California,4702233,5054917,republican
1988,Colorado,621453,728177,republican
1988,Connecticut,676584,750241,republican
1988,Delaware,108647,139639,republican
1988,District of Columbia,159407,27590,democrat
1988,Florida,1656701,2618885,republican
1988,Georgia,714792,1081331,republican
1988,Hawaii,192364,158625,democrat
1988,Idaho,147272,253881,republican
1988,Illinois,2215940,2310939,republican
1988,Indiana,860643,1297763,republican
1988,Iowa,670557,545355,democrat
1988,Kansas,422636,554049,republican
1988,Kentucky,580368,734281,republican
1988,Louisiana,717460,883702,republican
1988,Maine,243569,307131,republican
1988,Maryland,826304,876167,republican
1988,Massachusetts,1401415,1194635,democrat
1988,Michigan,1675783,1965486,republican
1988,Minnesota,1109471,962337,democrat
1988,Mississippi,363921,557890,republican
1988,Missouri,1001619,1084953,republican
1988,Montana,168936,190412,republican
1988,Nebraska,259235,397956,republican
1988,Nevada,132738,206040,republican
1988,New Hampshire,163696,281537,republican
1988,New Jersey,1320352,1743192,republican
1988,New Mexico,244497,270341,republican
1988,New York,3255487,2838414,democrat
1988,North Carolina,890167,1237258,republican
1988,North Dakota,127739,166559,republican
1988,Ohio,1939629,2416549,republican
1988,Oklahoma,483423,678367,republican
1988,Oregon,616206,560126,democrat
1988,Pennsylvania,2194944,2300087,republican
1988,Rhode Island,225123,177761,democrat
1988,South Carolina,370554,606443,republican
1988,South Dakota,145560,165415,republican
1988,Tennessee,679794,947233,republican
1988,Texas,2352748,3036829,republican
1988,Utah,207343,428442,republican
1988,Vermont,115775,124331,republican
1988,Virginia,859799,1309162,republican
1988,Washington,933516,903835,democrat
1988,West Virginia,341016,310065,democrat
1988,Wisconsin,1126794,1047499,democrat
1988,Wyoming,67113,106867,republican
1992,Alabama,690080,804283,republican
1992,Alaska,78294,102000,republican
1992,Arizona,543050,572086,republican
1992,Arkansas,505823,337324,democrat
1992,California,5121325,3630574,democrat
1992,Colorado,629681,562850,democrat
1992,Connecticut,682318,578313,democrat
1992,Delaware,126054,102313,democrat
1992,District of Columbia,192619,20698,democrat
1992,Florida,2071698,2173310,republican
1992,Georgia,1008966,995252,democrat
1992,Hawaii,179310,136822,democrat
1992,Idaho,137013,202645,republican
1992,Illinois,2453350,1734096,democrat
1992,Indiana,848420,989375,republican
1992,Iowa,586353,504891,democrat
1992,Kansas,390434,449951,republican
1992,Kentucky,665104,617178,democrat
1992,Louisiana,815971,733386,democrat
1992,Maine,263420,206504,democrat
1992,Maryland,988571,707094,democrat
1992,Massachusetts,1318639,805039,democrat
1992,Michigan,1871182,1554940,democrat
1992,Minnesota,1020997,747841,democrat
1992,Mississippi,400258,487793,republican
1992,Missouri,1053873,811159,democrat
1992,Montana,154507,144207,democrat
1992,Nebraska,216864,343678,republican
1992,Nevada,189148,175828,democrat
1992,New Hampshire,209040,202484,democrat
1992,New Jersey,1436206,1356865,democrat
1992,New Mexico,261617,212824,democrat
1992,New York,3346894,2041690,democrat
1992,North Carolina,1114042,1134661,republican
1992,North Dakota,99168,136244,republican
1992,Ohio,1984942,1894310,democrat
1992,Oklahoma,473066,592929,republican
1992,Oregon,621314,475757,democrat
1992,Pennsylvania,2239164,1791841,democrat
1992,Rhode Island,213299,131601,democrat
1992,South Carolina,525514,577507,republican
1992,South Dakota,124888,136718,republican
1992,Tennessee,933521,841300,democrat
1992,Texas,2281815,2496071,republican
1992,Utah,183429,322632,republican
1992,Vermont,133592,88122,democrat
1992,Virginia,1038650,1150517,republican
1992,Washington,993037,731234,democrat
1992,West Virginia,331001,241974,democrat
1992,Wisconsin,1041066,930855,democrat
1992,Wyoming,68160,79347,republican
1996,Alabama,662165,769044,republican
1996,Alaska,80380,122746,republican
1996,Arizona,653288,622073,democrat
1996,Arkansas,475171,325416,democrat
1996,California,5119835,3828381,democrat
1996,Colorado,671152,691848,republican
1996,Connecticut,735740,483109,democrat
1996,Delaware,140355,99062,democrat
