state,year,beer_per_capita,wine_per_capita,spirit_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Alabama,2016,1.09,0.26,0.65,2.01,258.3703703703704,51.5968992248062,134.95539334955393,428.79999999999995
Alabama,2015,1.11,0.26,0.64,2.01,263.11111111111114,51.5968992248062,132.87915652879158,428.79999999999995
Alabama,2014,1.1300000000000001,0.25,0.62,2,267.8518518518519,49.61240310077519,128.72668288726683,426.6666666666667
Alabama,2013,1.1400000000000001,0.25,0.6,1.99,270.22222222222223,49.61240310077519,124.5742092457421,424.53333333333336
Alabama,2012,1.1600000000000001,0.24000000000000002,0.6,2,274.962962962963,47.62790697674419,124.5742092457421,426.6666666666667
Alabama,2011,1.1600000000000001,0.24000000000000002,0.59,1.98,274.962962962963,47.62790697674419,122.49797242497972,422.40000000000003
Alabama,2010,1.1700000000000002,0.23,0.58,1.98,277.33333333333337,45.64341085271318,120.42173560421736,422.40000000000003
Alabama,2009,1.1900000000000002,0.22,0.5700000000000001,1.98,282.07407407407413,43.65891472868217,118.34549878345501,422.40000000000003
Alabama,2008,1.22,0.22,0.5700000000000001,2.01,289.18518518518516,43.65891472868217,118.34549878345501,428.79999999999995
Alabama,2007,1.23,0.22,0.55,2,291.5555555555556,43.65891472868217,114.19302514193026,426.6666666666667
Alabama,2006,1.21,0.21000000000000002,0.54,1.95,286.81481481481484,41.674418604651166,112.1167883211679,416
Alabama,2005,1.1800000000000002,0.2,0.53,1.91,279.70370370370375,39.689922480620154,110.04055150040553,407.46666666666664
Alabama,2004,1.1900000000000002,0.2,0.52,1.91,282.07407407407413,39.689922480620154,107.96431467964315,407.46666666666664
Alabama,2003,1.1900000000000002,0.19,0.52,1.9,282.07407407407413,37.70542635658914,107.96431467964315,405.3333333333333
Alabama,2002,1.1800000000000002,0.21000000000000002,0.54,1.92,279.70370370370375,41.674418604651166,112.1167883211679,409.6
Alabama,2001,1.1600000000000001,0.17,0.53,1.86,274.962962962963,33.736434108527135,110.04055150040553,396.8
Alabama,2000,1.1900000000000002,0.18,0.51,1.8800000000000001,282.07407407407413,35.72093023255813,105.88807785888078,401.0666666666667
Alabama,1999,1.1800000000000002,0.17,0.51,1.87,279.70370370370375,33.736434108527135,105.88807785888078,398.9333333333334
Alabama,1998,1.1600000000000001,0.17,0.51,1.85,274.962962962963,33.736434108527135,105.88807785888078,394.6666666666667
Alabama,1997,1.1400000000000001,0.16,0.52,1.82,270.22222222222223,31.751937984496124,107.96431467964315,388.2666666666667
Alabama,1996,1.1700000000000002,0.18,0.53,1.8800000000000001,277.33333333333337,35.72093023255813,110.04055150040553,401.0666666666667
Alabama,1995,1.1400000000000001,0.16,0.53,1.82,270.22222222222223,31.751937984496124,110.04055150040553,388.2666666666667
Alabama,1994,1.1600000000000001,0.17,0.54,1.87,274.962962962963,33.736434108527135,112.1167883211679,398.9333333333334
Alabama,1993,1.1400000000000001,0.17,0.56,1.86,270.22222222222223,33.736434108527135,116.26926196269262,396.8
Alabama,1992,1.02,0.19,0.59,1.79,241.7777777777778,37.70542635658914,122.49797242497972,381.8666666666667
Alabama,1991,1,0.17,0.59,1.76,237.03703703703704,33.736434108527135,122.49797242497972,375.4666666666667
Alabama,1990,1.12,0.18,0.61,1.92,265.4814814814815,35.72093023255813,126.65044606650446,409.6
Alabama,1989,1.12,0.17,0.61,1.9,265.4814814814815,33.736434108527135,126.65044606650446,405.3333333333333
Alabama,1988,1.12,0.19,0.62,1.92,265.4814814814815,37.70542635658914,128.72668288726683,409.6
Alabama,1987,1.11,0.18,0.62,1.91,263.11111111111114,35.72093023255813,128.72668288726683,407.46666666666664
Alabama,1986,1.1,0.18,0.65,1.92,260.74074074074076,35.72093023255813,134.95539334955393,409.6
Alabama,1985,1.07,0.17,0.6699999999999999,1.92,253.62962962962965,33.736434108527135,139.10786699107868,409.6
Alabama,1984,1.03,0.19,0.69,1.91,244.14814814814815,37.70542635658914,143.2603406326034,407.46666666666664
Alabama,1983,1.01,0.17,0.72,1.9,239.40740740740742,33.736434108527135,149.48905109489053,405.3333333333333
Alabama,1982,1,0.18,0.72,1.9,237.03703703703704,35.72093023255813,149.48905109489053,405.3333333333333
Alabama,1981,1,0.19,0.73,1.91,237.03703703703704,37.70542635658914,151.56528791565287,407.46666666666664
Alabama,1980,0.9500000000000001,0.16,0.74,1.86,225.18518518518522,31.751937984496124,153.64152473641525,396.8
Alabama,1979,0.96,0.12000000000000001,0.8200000000000001,1.9,227.55555555555554,23.813953488372096,170.25141930251422,405.3333333333333
Alabama,1978,0.9500000000000001,0.12000000000000001,0.8500000000000001,1.92,225.18518518518522,23.813953488372096,176.48012976480132,409.6
Alabama,1977,0.97,0.12000000000000001,0.8200000000000001,1.92,229.92592592592595,23.813953488372096,170.25141930251422,409.6
Alaska,2016,1.1500000000000001,0.56,1.23,2.94,272.59259259259267,111.13178294573645,255.3771289537713,627.2
